Gemeinde,coordinatex,coordinatey,name,streetNumber,zip,region,telephone,fax,openingHours,markettype,uid
Ormalingen,47.469514,7.877406,SPAR Supermarkt Ormalingen,Konsumstrasse 87,4466,"{'isoCode': 'BL', 'localName': 'Basel-Landschaft', 'nameEn': 'Basel Landschaft', 'uid': 108}",061 981 12 17,061 981 17 51,"[{'pretext': 'Montag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 562}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9063}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9064}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9065}, {'pretext': 'Freitag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9066}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9649}, {'pretext': 'Sonntag', 'date': None, 'text': '08:00 - 17:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 563}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",99
Stans,46.960405,8.364937,SPAR Supermarkt Stans,Robert Durrerstrasse 22,6370,"{'isoCode': 'NW', 'localName': 'Nidwalden', 'nameEn': 'Nidwalden', 'uid': 117}",041 610 44 93,041 610 45 59,"[{'pretext': 'Montag', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 576}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9067}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9068}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9069}, {'pretext': 'Freitag', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9070}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 - 17:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 577}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",101
Bonstetten,47.314873,8.469695,SPAR Supermarkt Bonstetten,Dorfstrasse 15,8906,"{'isoCode': 'ZH', 'localName': 'Zürich', 'nameEn': 'Zurich', 'uid': 129}",044 701 18 38,044 701 18 85,"[{'pretext': 'Montag', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 581}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9071}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9072}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9073}, {'pretext': 'Freitag', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9074}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 582}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",102
Esslingen,47.287565,8.710876,SPAR Supermarkt Esslingen,Forchstrasse 4,8133,"{'isoCode': 'ZH', 'localName': 'Zürich', 'nameEn': 'Zurich', 'uid': 129}",044 984 02 57,044 984 49 57,"[{'pretext': 'Montag', 'date': None, 'text': '06:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 587}, {'pretext': 'Dienstag', 'date': None, 'text': '06:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9075}, {'pretext': 'Mittwoch', 'date': None, 'text': '06:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9076}, {'pretext': 'Donnerstag', 'date': None, 'text': '06:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9077}, {'pretext': 'Freitag', 'date': None, 'text': '06:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9078}, {'pretext': 'Samstag', 'date': None, 'text': '06:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9079}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",103
Neuenkirch,47.103521,8.2016,SPAR Supermarkt Neuenkirch,Surseestrasse 28,6206,"{'isoCode': 'LU', 'localName': 'Luzern', 'nameEn': 'Lucerne', 'uid': 115}",041 414 35 90,,"[{'pretext': 'Montag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': '', 'group': '', 'uid': 593}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': '', 'group': '', 'uid': 9080}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': '', 'group': '', 'uid': 9081}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': '', 'group': '', 'uid': 9082}, {'pretext': 'Freitag', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': '', 'group': '', 'uid': 594}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 - 17:00 Uhr', 'posttext': '', 'group': '', 'uid': 595}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",104
Kerzers,46.9741,7.194248,SPAR Supermarkt Kerzers,Murtenstrasse 13,3210,"{'isoCode': 'FR', 'localName': 'Fribourg', 'nameEn': 'Fribourg', 'uid': 110}",031 755 59 32,031 755 59 86,"[{'pretext': 'Montag', 'date': None, 'text': '06:30 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 599}, {'pretext': 'Dienstag', 'date': None, 'text': '06:30 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9083}, {'pretext': 'Mittwoch', 'date': None, 'text': '06:30 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9084}, {'pretext': 'Donnerstag', 'date': None, 'text': '06:30 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9085}, {'pretext': 'Freitag', 'date': None, 'text': '06:30\xa0- 19:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 600}, {'pretext': 'Samstag', 'date': None, 'text': '06:30\xa0- 16:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 601}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",105
Turgi,47.494424,8.252433,SPAR Supermarkt Turgi,Bahnhofstrasse 17,5300,"{'isoCode': 'AG', 'localName': 'Aargau', 'nameEn': 'Aargau', 'uid': 104}",056 223 10 02,056 210 26 18,"[{'pretext': 'Montag', 'date': None, 'text': '07:00\xa0- 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 605}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00\xa0- 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9086}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00\xa0- 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9087}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00\xa0- 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9088}, {'pretext': 'Freitag', 'date': None, 'text': '07:00\xa0- 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9089}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 606}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",106
Oberentfelden,47.354509,8.04723,SPAR Supermarkt Oberentfelden,Muhenstrasse 9,5036,"{'isoCode': 'AG', 'localName': 'Aargau', 'nameEn': 'Aargau', 'uid': 104}",062 724 00 02,062 724 00 04,"[{'pretext': 'Montag', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 610}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9090}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9091}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9092}, {'pretext': 'Freitag', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9093}, {'pretext': 'Samstag', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9094}, {'pretext': 'Sonntag', 'date': None, 'text': 'geschlossen', 'posttext': '', 'group': '', 'uid': 7013}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",107
Richterswil,47.207475,8.691254,SPAR Supermarkt Richterswil,Glärnischstrasse 1,8805,"{'isoCode': 'ZH', 'localName': 'Zürich', 'nameEn': 'Zurich', 'uid': 129}",043 888 04 30,,"[{'pretext': 'Montag', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 637}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9095}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9096}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9097}, {'pretext': 'Freitag', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9098}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 - 18:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 638}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",110
Glarus,47.05053,9.058822,SPAR Supermarkt Glarus,Iseliguet,8750,"{'isoCode': 'GL', 'localName': 'Glarus', 'nameEn': 'Glarus', 'uid': 112}",055 6406425,055 6406426,"[{'pretext': 'Montag', 'date': None, 'text': '09:00 - 21:00 Uhr', 'posttext': 'ausgenommen Feiertage', 'group': '', 'uid': 642}, {'pretext': 'Dienstag', 'date': None, 'text': '09:00 - 21:00 Uhr', 'posttext': 'ausgenommen Feiertage', 'group': '', 'uid': 9099}, {'pretext': 'Mittwoch', 'date': None, 'text': '09:00 - 21:00 Uhr', 'posttext': 'ausgenommen Feiertage', 'group': '', 'uid': 9100}, {'pretext': 'Donnerstag', 'date': None, 'text': '09:00 - 21:00 Uhr', 'posttext': 'ausgenommen Feiertage', 'group': '', 'uid': 9101}, {'pretext': 'Freitag', 'date': None, 'text': '09:00 - 21:00 Uhr', 'posttext': 'ausgenommen Feiertage', 'group': '', 'uid': 9102}, {'pretext': 'Samstag', 'date': None, 'text': '09:00 - 21:00 Uhr', 'posttext': 'ausgenommen Feiertage', 'group': '', 'uid': 9103}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",111
Schwarzenbach,47.441124,9.075733,SPAR Supermarkt Schwarzenbach,Jonschwilerstrasse 12,9536,"{'isoCode': 'SG', 'localName': 'St. Gallen', 'nameEn': 'St. Gallen', 'uid': 119}",071 923 14 79,071 923 14 80,"[{'pretext': 'Montag', 'date': None, 'text': '07:00 – 12:30 Uhr', 'posttext': '13:30 – 19:00 Uhr', 'group': '', 'uid': 1200}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00 – 12:30 Uhr', 'posttext': '13:30 – 19:00 Uhr', 'group': '', 'uid': 9104}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00 – 12:30 Uhr', 'posttext': '13:30 – 19:00 Uhr', 'group': '', 'uid': 9105}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00 – 12:30 Uhr', 'posttext': '13:30 – 19:00 Uhr', 'group': '', 'uid': 9106}, {'pretext': 'Freitag', 'date': None, 'text': '07:00 – 12:30 Uhr', 'posttext': '13:30 – 19:00 Uhr', 'group': '', 'uid': 9107}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 – 17:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 1201}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",640
Davos Dorf,46.809202,9.840188,SPAR Supermarkt Davos-Dorf,Bahnhofstrasse 1,7260,"{'isoCode': 'GR', 'localName': 'Graubünden', 'nameEn': 'Graubünden', 'uid': 113}",081 416 32 12,081 416 59 07,"[{'pretext': 'Montag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 660}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9108}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9109}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9110}, {'pretext': 'Freitag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9111}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 - 17:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 662}, {'pretext': 'Sonnatg', 'date': None, 'text': 'geschlossen', 'posttext': '', 'group': '', 'uid': 7401}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",115
Strengelbach,47.281651,7.929283,SPAR Supermarkt Strengelbach,Altmattweg,4802,"{'isoCode': 'AG', 'localName': 'Aargau', 'nameEn': 'Aargau', 'uid': 104}",062 751 18 71,062 751 49 74,"[{'pretext': 'Montag', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 680}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9112}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9113}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9114}, {'pretext': 'Freitag', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9115}, {'pretext': 'Samstag', 'date': None, 'text': '07:00\xa0- 18:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 1168}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",118
Zürich-Oerlikon,47.403215,8.547119,SPAR Oerlikon Corrado Imbimbo's Frischmärkte,Schaffhauserstrasse 239,8057,"{'isoCode': 'ZH', 'localName': 'Zürich', 'nameEn': 'Zurich', 'uid': 129}",044 317 15 00,044 317 15 01,"[{'pretext': 'Montag', 'date': None, 'text': '07:00\xa0- 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 682}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00\xa0- 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9116}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00\xa0- 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9117}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00\xa0- 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9118}, {'pretext': 'Freitag', 'date': None, 'text': '07:00\xa0- 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9119}, {'pretext': 'Samstag', 'date': None, 'text': '07:00\xa0- 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 683}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",119
Lenzburg-Staufen,47.3869,8.169671,SPAR Supermarkt Lenzburg,Aarauerstrasse 21,5603,"{'isoCode': 'AG', 'localName': 'Aargau', 'nameEn': 'Aargau', 'uid': 104}",062 885 06 20,062 885 06 21,"[{'pretext': 'Montag', 'date': None, 'text': '08:00\xa0- 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 689}, {'pretext': 'Dienstag', 'date': None, 'text': '08:00\xa0- 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9120}, {'pretext': 'Mittwoch', 'date': None, 'text': '08:00\xa0- 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9121}, {'pretext': 'Donnerstag', 'date': None, 'text': '08:00\xa0- 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9122}, {'pretext': 'Freitag', 'date': None, 'text': '08:00\xa0- 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9123}, {'pretext': 'Samstag', 'date': None, 'text': '08:00 - 18:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 1170}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",121
Zürich,47.379738,8.490404,SPAR Supermarkt Zollfreilager,Freilagerstrasse 51,8047,"{'isoCode': 'ZH', 'localName': 'Zürich', 'nameEn': 'Zurich', 'uid': 129}",044 403 49 50,,"[{'pretext': 'Montag', 'date': None, 'text': '07:00\xa0- 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 695}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00\xa0- 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9124}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00\xa0- 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9125}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00\xa0- 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9126}, {'pretext': 'Freitag', 'date': None, 'text': '07:00\xa0- 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9127}, {'pretext': 'Samstag', 'date': None, 'text': '07:00\xa0- 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9128}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",123
Arbon,47.519601,9.423915,SPAR Supermarkt Arbon,Romanshornerstrasse 60,9320,"{'isoCode': 'TG', 'localName': 'Thurgau', 'nameEn': 'Thurgau', 'uid': 123}",071 446 74 75,071 446 74 76,"[{'pretext': 'Montag', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 697}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9129}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9130}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9131}, {'pretext': 'Freitag', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9132}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 - 17:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 698}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",124
Bad Ragaz,47.006808,9.500161,SPAR Supermarkt Bad Ragaz,Grossfeldstrasse 20,7310,"{'isoCode': 'SG', 'localName': 'St. Gallen', 'nameEn': 'St. Gallen', 'uid': 119}",081 302 31 00,081 330 10 08,"[{'pretext': 'Montag', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 703}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9133}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9134}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9135}, {'pretext': 'Freitag', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9136}, {'pretext': 'Samstag', 'date': None, 'text': '07:00\xa0- 17:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 1173}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",126
Thun,46.757152,7.626919,SPAR Supermarkt Thun,Aarestrasse 30a,3600,"{'isoCode': 'BE', 'localName': 'Bern', 'nameEn': 'Bern', 'uid': 107}",033 221 42 88,033 221 42 87,"[{'pretext': 'Montag', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 717}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9137}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9138}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00 - 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 1176}, {'pretext': 'Freitag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 7142}, {'pretext': 'Samstag', 'date': None, 'text': '08:00\xa0- 17:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 1177}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",131
Nottwil,47.135793,8.135516,SPAR Supermarkt Nottwil,Kantonsstrasse 11,6207,"{'isoCode': 'LU', 'localName': 'Luzern', 'nameEn': 'Lucerne', 'uid': 115}",041 937 22 24,041 937 22 89,"[{'pretext': 'Montag', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 720}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9139}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9140}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9141}, {'pretext': 'Freitag', 'date': None, 'text': '07:00\xa0- 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 721}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 - 17:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 722}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",132
Zug,47.16857,8.51597,SPAR Supermarkt Zug,Bahnhofstrasse 10,6300,"{'isoCode': 'ZG', 'localName': 'Zug', 'nameEn': 'Zug', 'uid': 128}",041 711 03 89,041 711 03 78,"[{'pretext': 'Montag', 'date': None, 'text': '06:30 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 726}, {'pretext': 'Dienstag', 'date': None, 'text': '06:30 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9142}, {'pretext': 'Mittwoch', 'date': None, 'text': '06:30 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9143}, {'pretext': 'Donnerstag', 'date': None, 'text': '06:30 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 727}, {'pretext': 'Freitag', 'date': None, 'text': '06:30\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 728}, {'pretext': 'Samstag', 'date': None, 'text': '08:00\xa0- 17:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 729}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",133
Rothrist,47.303245,7.878685,SPAR Supermarkt Rothrist,Galliweg / Rosenweg,4852,"{'isoCode': 'AG', 'localName': 'Aargau', 'nameEn': 'Aargau', 'uid': 104}",062 794 12 62,062 794 12 62,"[{'pretext': 'Montag', 'date': None, 'text': '06:30 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 734}, {'pretext': 'Dienstag', 'date': None, 'text': '06:30 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9144}, {'pretext': 'Mittwoch', 'date': None, 'text': '06:30 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9145}, {'pretext': 'Donnerstag', 'date': None, 'text': '06:30 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9146}, {'pretext': 'Freitag', 'date': None, 'text': '06:30 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9147}, {'pretext': 'Samstag', 'date': None, 'text': '07:30\xa0- 18:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 1178}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",134
Andwil,47.439564,9.26745,SPAR Supermarkt Andwil,Arneggerstrasse 11,9204,"{'isoCode': 'SG', 'localName': 'St. Gallen', 'nameEn': 'St. Gallen', 'uid': 119}",071 385 17 12,,"[{'pretext': 'Montag', 'date': None, 'text': '06:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 736}, {'pretext': 'Dienstag', 'date': None, 'text': '06:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9148}, {'pretext': 'Mittwoch', 'date': None, 'text': '06:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9149}, {'pretext': 'Donnerstag', 'date': None, 'text': '06:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9150}, {'pretext': 'Freitag', 'date': None, 'text': '06:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9151}, {'pretext': 'Samstag', 'date': None, 'text': '06:00 - 17:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 737}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",135
